customer_id,age,income,credit_score,loan_amount,employment_years,has_mortgage,num_credit_lines,late_payments,account_balance,region,loan_purpose,default
C001,35,75000,720,25000,8,1,3,0,15000,North,Home,0
C002,28,45000,650,15000,3,0,2,2,3200,South,Car,1
C003,42,95000,780,40000,15,1,4,0,28000,East,Home,0
C004,31,55000,680,18000,5,0,3,1,8500,West,Education,0
C005,55,120000,810,60000,25,1,5,0,45000,North,Home,0
C006,23,32000,590,8000,1,0,1,3,1200,South,Personal,1
C007,38,82000,750,32000,10,1,3,0,22000,East,Business,0
C008,29,48000,640,12000,4,0,2,2,4500,West,Car,1
C009,47,105000,795,50000,18,1,4,0,38000,North,Home,0
C010,33,62000,700,20000,6,0,3,1,11000,South,Education,0
C011,26,38000,610,10000,2,0,2,2,2800,East,Personal,1
C012,41,88000,760,35000,12,1,4,0,25000,West,Home,0
C013,36,70000,730,28000,7,1,3,0,18000,North,Car,0
C014,22,28000,570,6000,0,0,1,4,800,South,Personal,1
C015,50,115000,800,55000,22,1,5,0,42000,East,Home,0
C016,30,50000,660,14000,4,0,2,1,6000,West,Education,0
C017,44,92000,770,42000,14,1,4,0,30000,North,Business,0
C018,27,42000,630,11000,3,0,2,2,3500,South,Car,1
C019,39,78000,740,30000,9,1,3,0,20000,East,Home,0
C020,34,65000,710,22000,6,0,3,1,9500,West,Personal,0
C021,24,30000,580,7000,1,0,1,3,1500,South,Personal,1
C022,46,100000,790,48000,17,1,4,0,35000,North,Home,0
C023,32,58000,690,16000,5,0,2,1,7200,East,Car,0
C024,37,72000,735,27000,8,1,3,0,16500,West,Education,0
C025,21,25000,560,5000,0,0,1,5,500,South,Personal,1
C026,43,90000,765,38000,13,1,4,0,27000,North,Business,0
C027,29,46000,645,13000,3,0,2,2,4000,East,Car,1
C028,40,85000,755,34000,11,1,4,0,24000,West,Home,0
C029,35,68000,725,26000,7,0,3,0,14000,North,Education,0
C030,25,35000,600,9000,2,0,2,3,2200,South,Personal,1
C031,48,108000,798,52000,19,1,5,0,40000,East,Home,0
C032,31,52000,670,15000,4,0,2,1,5500,West,Car,0
C033,36,71000,728,27500,8,1,3,0,17000,North,Business,0
C034,23,29000,575,6500,1,0,1,4,1000,South,Personal,1
C035,45,98000,785,45000,16,1,4,0,33000,East,Home,0
C036,33,60000,695,19000,5,0,3,1,8800,West,Education,0
C037,28,44000,635,11500,3,0,2,2,3800,North,Car,1
C038,42,87000,758,36000,12,1,4,0,26000,South,Home,0
C039,38,76000,742,29500,9,1,3,0,19500,East,Personal,0
C040,26,36000,605,9500,2,0,2,3,2500,West,Personal,1
C041,51,118000,805,58000,23,1,5,0,44000,North,Home,0
C042,30,51000,665,14500,4,0,2,1,5800,South,Car,0
C043,37,73000,732,28500,8,1,3,0,17500,East,Business,0
C044,22,27000,565,5500,0,0,1,4,700,West,Personal,1
C045,44,91000,768,41000,14,1,4,0,29000,North,Home,0
C046,34,63000,705,21000,6,0,3,1,9200,South,Education,0
C047,27,41000,625,10500,3,0,2,2,3300,East,Car,1
C048,41,86000,752,34500,11,1,4,0,23500,West,Home,0
C049,39,79000,745,30500,10,1,3,0,20500,North,Business,0
C050,24,31000,585,7500,1,0,1,3,1800,South,Personal,1
